source_id,ra,dec,parallax,e_parallax,pmra,pmdec,phi1,phi2,pm1,pm2,e_pm1,e_pm2,g0,r0,i0,rv,e_rv,feh,memb_prob
1658955861387715072,206.01602473502587,58.18231763669903,0.07500847431973441,0.02354818396270275,-7.5691637369610145,-3.00093841311794,2.592859534738742,-1.790673947981852,-7.894354292840881,-1.9942520741764926,0.02425379607598658,0.025187783620624966,15.557259107008576,15.193866120651364,15.06596614047885,0.0,10000.0,-10000.0,0.9578982559607836
1658976099273671424,205.33745210421765,58.44274955818157,-0.43600382487539313,0.394792765378952,-7.952402312983299,-3.596254782427962,2.2746226796966167,-1.48459777684846,-8.37705236946144,-2.4492334733501036,0.4822011865729183,0.45343306711627174,20.199571765959263,19.9894263651222,19.893081218004227,0.0,10000.0,-10000.0,0.9196231499585054
1658977916044055424,205.46960096118104,58.48425871989403,-0.03824053424109189,0.2206733524799347,-7.890838704689674,-3.134392609667392,2.3488590036699457,-1.4530845979890379,-8.247511661607852,-2.017003690281375,0.2822014324915092,0.26731907013552897,19.606081476435065,19.391869755461812,19.333391124382615,0.0,10000.0,-10000.0,0.9729908524191211
1658981218874706176,206.28732887105517,58.33536306979273,0.0513515384627242,0.4888942837715149,-7.871796190060014,-3.233769207455843,2.7540244366457416,-1.6570941476079106,-8.215562508275973,-2.2196781788230466,0.6392505874986585,0.7062259921140074,20.560687040910125,20.32694081030786,20.253560695797205,0.0,10000.0,-10000.0,0.8133490301942933
1658986643417588864,205.9703171489559,58.47154522163277,0.40511482216676953,0.4692544937133789,-8.624233669566156,-3.747823826588138,2.606664333622583,-1.5007805907879974,-9.039098023093342,-2.5919677373243473,0.5948185431744984,0.5764210989355647,21.220289573073387,20.135926209390163,19.524632146582007,0.0,10000.0,-10000.0,0.7213672023681101
1658986987014988672,205.95789196874645,58.50637059145969,0.24279577178954873,0.11947554349899292,-7.751842672752911,-3.136093984951845,2.604766566458774,-1.4654057177318394,-8.094816757428863,-2.097639618526749,0.14064089519451706,0.13167889581131964,18.585687801241875,18.373710721731186,18.293043354526162,-274.61505519786635,6.939517871744921,-10000.0,0.9994400901550653
1658991350701799552,206.26645804981206,58.60014220490122,-0.158131889971672,0.1896960586309433,-8.045274767466445,-2.527144738146749,2.7764927794028162,-1.3930436647488609,-8.299382927362505,-1.494372656528109,0.22348869134530608,0.20627353573716878,19.380605721846223,19.178499987348914,19.120590935461223,0.0,10000.0,-10000.0,0.7125613888958001
1658998570542554752,205.83298966115973,58.51469404375,0.4273264650920332,0.1540236920118332,-7.974193016875872,-3.476184035978773,2.5411643410575637,-1.4485792485730156,-8.364173375209681,-2.3900237387563923,0.18994657032682308,0.17961252132023073,18.996364023536444,18.834412770345807,18.744173482991755,0.0,10000.0,-10000.0,0.902660384811319
1658999665758472576,205.74934780291085,58.55973526113211,-0.13759961733507722,0.3662821650505066,-7.814945098660546,-3.234795639646113,2.5038746555545583,-1.3981319435736248,-8.177106471177433,-2.1615271185854112,0.5239394122926628,0.4105723940531116,20.35798267275095,20.048999736085534,19.951707609929144,0.0,10000.0,-10000.0,0.9327082894564611
1659010179838472448,205.7502142474801,58.76536577300216,0.44431861298400455,0.4927962124347687,-7.747253885293784,-3.391675947124299,2.5318029730669864,-1.1944053632201699,-8.13092948338373,-2.326240363707572,0.5440500600038837,0.5439873609230268,21.460139207541943,20.39685925282538,19.552888238802552,0.0,10000.0,-10000.0,0.795220326298327
