# Extended version of Table 4.
# Column Descriptions
# 1. R.A. - Right ascension (J2000, deg)
# 2. Dec - Declination (J2000, deg)
# 3. pmra - Proper motion in R. A. (mas/yr)
# 4. pmra_e - Error in pmra (mas/yr)
# 5. pmdec - Proper motion in Dec (mas/yr)
# 6. pmdec_e - Error in pmdec (mas/yr)
# 7. V_R - Measured Radial Velocity (km/s)
# 8. V_R_e - Error in V_R (km/s)
# 9. g - g-band magnitude from PanSTARRS-1 (mag)
# 10. g-i - colour g - i from PanSTARRS-1 (mag)
# 11. Source - Source of detection. Ib17 - Ibata et al. 2017, O09 - Odenkirchen et al. 2009, Is16 - Ishigaki et al. 2019, K22 - this paper.
# R.A.    Dec    pmra   pmra_e pmdec  pmdec_e V_R    V_R_e g     g-i  Source  
  227.969 -1.201 -2.804 0.104  -2.87  0.097   -44.77 1.04  17.73 0.9  O09/Ib17
  228.118 -1.214 -3.122 0.24   -2.066 0.289   -56.09 1.87  18.67 0.81 Ib17/K22
  227.972 -1.245 -1.055 0.103  -1.813 0.099   -51.52 2.13  17.69 0.87 K22     
  227.663 -1.446 -2.729 0.064  -2.797 0.052   -58.37 0.96  17.28 0.97 Ib17/K22
  227.84  -1.484 -2.884 0.094  -2.882 0.084   -52.0  1.44  17.98 0.91 Ib17/K22
  227.714 -1.528 -2.759 0.193  -2.925 0.162   -58.64 2.0   19.13 0.77 Ib17    
  227.327 -1.637 -2.909 0.11   -1.993 0.11    -46.83 1.55  17.76 0.93 K22     
  227.168 -1.76  -1.396 0.124  -1.298 0.105   -40.43 4.36  18.2  0.8  K22     
  227.179 -1.818 -2.521 0.203  -2.821 0.174   -56.76 2.4   18.91 0.79 Ib17    
  227.03  -2.111 -2.562 0.084  -2.757 0.067   -59.48 1.11  17.72 0.9  O09/Ib17
  227.079 -2.216 -2.879 0.132  -3.088 0.102   -62.94 0.69  18.32 0.84 O09/Ib17
  225.866 -3.423 -2.481 0.298  -2.73  0.236   -68.51 3.21  19.72 0.84 Ib17    
  224.939 -4.332 -2.987 0.127  -2.954 0.118   -59.97 1.74  18.04 0.86 K22     
  224.645 -4.525 -2.717 0.137  -3.163 0.097   -62.05 1.63  18.02 0.86 K22     
  223.607 -4.805 -1.55  0.103  -1.942 0.096   -79.72 2.04  17.97 0.92 K22     
  225.323 -4.819 -2.994 0.086  -3.237 0.075   -67.2  1.17  17.49 0.91 K22     
  224.349 -5.052 -2.244 0.204  -3.855 0.186   -49.54 2.92  17.41 -0.2 K22     
  224.982 -5.087 -2.727 0.175  -2.831 0.152   -48.56 3.7   18.65 0.74 K22     
  224.783 -5.326 -2.833 0.055  -3.33  0.055   -70.84 0.28  16.83 1.0  K22     
  224.177 -5.501 -2.945 0.089  -3.223 0.08    -63.32 1.15  17.55 0.9  K22     
